Comment,Designator,Footprint,LCSC
25000,R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
25000,R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
SW_Push_LED_YELLOW,SW5,SW_PUSH_LED_6mm_H7.3mm,
25000,R5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
SW_Push_LED_YELLOW,SW2,SW_PUSH_LED_6mm_H7.3mm,
SW_Push_LED_YELLOW,SW3,SW_PUSH_LED_6mm_H7.3mm,
SW_Push_LED_YELLOW,SW1,SW_PUSH_LED_6mm_H7.3mm,
25000,R3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
SW_Push_LED_YELLOW,SW7,SW_PUSH_LED_6mm_H7.3mm,
SW_Push_LED_YELLOW,SW4,SW_PUSH_LED_6mm_H7.3mm,
25000,R7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
25000,R6,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
SW_Push_LED_YELLOW,SW6,SW_PUSH_LED_6mm_H7.3mm,
25000,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
Conn_02x12_Top_Bottom,J1,PinHeader_2x12_P2.54mm_Vertical,
MBT2222A,Q6,MBT2222A,
51,R10,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
SSD1312_I2C_128x64,U1,OLED_SSD1312_I2C_0.96_No_Mounting_Holes,
51,R13,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
SSD1312_I2C_128x64,U2,OLED_SSD1312_I2C_0.96_No_Mounting_Holes,
MBT2222A,Q5,MBT2222A,
51,R11,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
51,R9,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
51,R8,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
MBT2222A,Q1,MBT2222A,
MBT2222A,Q4,MBT2222A,
MBT2222A,Q2,MBT2222A,
MBT2222A,Q7,MBT2222A,
51,R12,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
MBT2222A,Q3,MBT2222A,
51,R14,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
